duration
48
24
50
42
50
41
24
23
24
24
25
28
74
30
26
21
49
52
23
58
46
56
52
25
52
24
56
28
43
58
24
25
53
58
56
31
46
76
62
54
50
38
47
23
55
22
24
56
25
22
45
60
27
28
25
58
30
44
48
23
25
51
22
60
23
51
81
48
49
44
25
56
27
54
39
23
43
40
52
48
50
45
31
24
25
26
22
32
53
55
62
62
29
26
69
23
30
58
50
46
48
25
46
23
55
43
26
25
67
60
33
21
43
44
43
59
47
24
47
28
62
34
52
52
31
47
54
30
20
55
45
43
54
50
29
54
24
42
25
57
43
44
25
52
55
57
51
45
64
16
48
45
53
29
32
45
27
54
24
47
43
22
28
45
43
42
59
28
50
21
42
44
44
42
49
26
58
49
58
26
32
41
64
42
44
47
30
42
62
55
30
39
21
22
29
28
57
47
50
45
49
52
46
22
44
59
30
41
42
42
50
44
25
43
23
92
141
49
22
46
41
42
24
49
42
47
42
59
43
47
24
18
43
47
25
39
50
44
46
25
60
48
58
46
61
21
